frame,student_id,emotion,emotion_duration
5,1,happy,0.04
5,2,not frontal,0.04
6,1,happy,0.08
6,2,not frontal,0.08
7,1,happy,0.12
7,2,not frontal,0.12
8,1,happy,0.16
8,2,not frontal,0.16
8,3,not frontal,0.04
9,1,happy,0.2
9,2,not frontal,0.2
9,3,not frontal,0.08
9,4,not frontal,0.04
10,1,happy,0.24000000000000002
10,2,not frontal,0.24000000000000002
10,3,not frontal,0.12
10,4,not frontal,0.08
10,5,not frontal,0.04
11,1,happy,0.28
11,2,not frontal,0.28
11,3,not frontal,0.16
11,4,fear,0.04
11,5,not frontal,0.08
11,6,sad,0.04
11,7,fear,0.04
11,8,sad,0.04
11,9,neutral,0.04
11,10,not frontal,0.04
11,11,sad,0.04
11,12,fear,0.04
12,1,surprise,0.04
12,2,not frontal,0.32
12,3,not frontal,0.2
12,4,not frontal,0.12
12,5,not frontal,0.12
12,6,sad,0.08
12,7,fear,0.08
12,8,sad,0.08
12,9,neutral,0.08
12,10,not frontal,0.08
12,11,neutral,0.04
12,12,neutral,0.04
12,13,angry,0.04
12,14,sad,0.04
12,15,sad,0.04
12,16,fear,0.04
12,17,fear,0.04
12,18,not frontal,0.04
12,19,sad,0.04
13,1,not frontal,0.04
13,2,not frontal,0.36
13,3,not frontal,0.24000000000000002
13,4,not frontal,0.16
13,5,not frontal,0.16
13,6,sad,0.12
13,7,fear,0.12
13,8,sad,0.12
13,9,not frontal,0.04
13,10,not frontal,0.12
13,11,neutral,0.08
13,12,neutral,0.08
13,13,angry,0.08
13,14,not frontal,0.04
13,15,sad,0.08
13,16,sad,0.04
13,17,fear,0.08
13,18,not frontal,0.08
13,19,fear,0.04
13,20,neutral,0.04
13,21,sad,0.04
13,22,neutral,0.04
13,23,sad,0.04
13,24,neutral,0.04
14,1,not frontal,0.08
14,2,not frontal,0.39999999999999997
14,3,not frontal,0.28
14,4,fear,0.08
14,5,not frontal,0.2
14,6,sad,0.16
14,7,fear,0.16
14,8,sad,0.16
14,9,neutral,0.12
14,10,not frontal,0.16
14,11,sad,0.08
14,12,neutral,0.12
