frame,student_id,emotion,emotion_duration
9,Richard,neutral,0.04
10,Richard,neutral,0.08
11,Richard,neutral,0.12
12,Richard,neutral,0.16
12,Judy,neutral,0.04
13,Richard,neutral,0.2
13,Victoria,neutral,0.08
13,Karen,neutral,0.04
14,Richard,neutral,0.24000000000000002
14,Abby,neutral,0.12
14,Karen,neutral,0.08
15,Richard,neutral,0.28
15,Abby,neutral,0.16
15,Karen,neutral,0.12
15,Anna,sad,0.04
15,Ellie,neutral,0.04
15,Emily,neutral,0.04
15,Arianna,neutral,0.04
15,Amy,neutral,0.04
15,Jess,neutral,0.04
16,Richard,neutral,0.32
16,Abby,neutral,0.2
16,Karen,neutral,0.16
16,Anna,sad,0.08
16,Ellie,neutral,0.08
16,Emily,neutral,0.08
16,Arianna,neutral,0.08
16,Amy,neutral,0.08
16,Mario,neutral,0.08
16,Dee,neutral,0.04
16,Christie,neutral,0.04
16,Jack,sad,0.04
16,Ralph,sad,0.04
16,Lily,neutral,0.04
16,Jess,neutral,0.04
16,Mary,neutral,0.04
17,Richard,neutral,0.36
17,Abby,neutral,0.24000000000000002
17,Karen,neutral,0.2
17,Anna,sad,0.12
17,Ellie,neutral,0.12
17,Emily,neutral,0.12
17,Kenny,neutral,0.12
17,Amy,neutral,0.12
17,Mario,neutral,0.12
17,Dee,neutral,0.08
17,Christie,neutral,0.08
17,Jack,sad,0.08
17,Ralph,sad,0.08
17,Lily,neutral,0.08
17,Jess,neutral,0.08
17,Mary,neutral,0.08
17,Mary,neutral,0.04
17,Judy,happy,0.04
17,Luigi,neutral,0.04
17,,neutral,0.04
17,Daisy,neutral,0.04
17,Wolf,neutral,0.04
18,Richard,neutral,0.39999999999999997
18,Abby,neutral,0.28
18,Karen,neutral,0.24000000000000002
18,Anna,sad,0.16
18,Ellie,neutral,0.16
18,Emily,neutral,0.16
18,Kenny,neutral,0.16
18,Amy,neutral,0.16
18,Mario,neutral,0.16
18,Dee,neutral,0.12
18,Christie,neutral,0.12
18,Jack,sad,0.12
18,Ralph,fear,0.04
18,Lily,neutral,0.12
18,Abby,neutral,0.12
18,Mary,neutral,0.12
18,Miss,neutral,0.08
18,Judy,sad,0.04
18,Luigi,neutral,0.08
18,Mario,neutral,0.08
18,Daisy,neutral,0.08
18,Wolf,neutral,0.08
18,Mario,neutral,0.04
18,Mary,neutral,0.04
19,Richard,neutral,0.43999999999999995
19,Abby,neutral,0.32
19,Karen,neutral,0.28
19,Anna,neutral,0.04
19,Ellie,neutral,0.2
19,Emily,neutral,0.2
19,Kenny,neutral,0.2
19,Amy,neutral,0.2
19,Mario,neutral,0.2
19,Dee,neutral,0.16
19,Christie,neutral,0.16
19,Jack,neutral,0.04
19,Ralph,fear,0.08
19,Lily,neutral,0.16
19,Abby,neutral,0.16
19,Mary,neutral,0.16
19,Miss,neutral,0.12
19,Judy,sad,0.08
19,Luigi,neutral,0.12
19,Mario,neutral,0.12
19,Daisy,neutral,0.12
19,Wolf,neutral,0.12
19,Mario,neutral,0.08
19,Mary,neutral,0.08
20,Richard,neutral,0.4799999999999999
20,Abby,neutral,0.36
20,Karen,neutral,0.32
20,Anna,sad,0.2
20,Ellie,neutral,0.24000000000000002
20,Emily,neutral,0.24000000000000002
20,Kenny,neutral,0.24000000000000002
20,Amy,neutral,0.24000000000000002
20,Mario,neutral,0.24000000000000002
20,Dee,neutral,0.2
20,Christie,neutral,0.2
20,Jack,neutral,0.08
20,Ralph,sad,0.12
20,Lily,neutral,0.2
20,Abby,neutral,0.2
20,Mary,neutral,0.2
20,Miss,neutral,0.16
20,Judy,sad,0.12
20,Luigi,neutral,0.16
20,Arianna,neutral,0.16
20,Daisy,neutral,0.16
20,Wolf,neutral,0.16
20,Mario,neutral,0.12
20,Mary,neutral,0.12
20,Lils,neutral,0.04
21,Richard,neutral,0.5199999999999999
21,Abby,neutral,0.39999999999999997
21,Karen,neutral,0.36
21,Anna,sad,0.24000000000000002
21,Ellie,neutral,0.28
21,Emily,neutral,0.28
21,Kenny,neutral,0.28
21,Amy,neutral,0.28
21,Mario,neutral,0.28
21,Dee,neutral,0.24000000000000002
21,Christie,neutral,0.24000000000000002
21,Jack,neutral,0.12
21,Ralph,neutral,0.04
21,Lily,neutral,0.24000000000000002
21,Abby,neutral,0.24000000000000002
21,Mary,neutral,0.24000000000000002
21,Miss,neutral,0.2
21,Judy,fear,0.04
21,Luigi,neutral,0.2
21,Arianna,neutral,0.2
21,Daisy,neutral,0.2
21,Wolf,neutral,0.2
21,Mario,neutral,0.16
21,Jess,neutral,0.16
21,Lils,neutral,0.08
22,Richard,neutral,0.5599999999999999
22,Abby,neutral,0.43999999999999995
22,Karen,neutral,0.39999999999999997
22,Anna,sad,0.28
22,Ellie,neutral,0.32
22,Emily,neutral,0.32
22,Kenny,neutral,0.32
22,Amy,neutral,0.32
22,Mario,neutral,0.32
22,Dee,neutral,0.28
22,Christie,neutral,0.28
22,Jack,neutral,0.16
22,Ralph,neutral,0.08
22,Lily,neutral,0.28
22,Abby,neutral,0.28
22,Mary,neutral,0.28
22,Miss,neutral,0.24000000000000002
22,Judy,fear,0.08
22,Luigi,neutral,0.24000000000000002
22,Arianna,neutral,0.24000000000000002
22,Daisy,neutral,0.24000000000000002
22,Wolf,neutral,0.24000000000000002
22,Mario,neutral,0.2
22,Jess,neutral,0.2
22,Lils,neutral,0.12
23,Richard,neutral,0.6
23,Abby,neutral,0.4799999999999999
23,Karen,neutral,0.43999999999999995
23,Anna,sad,0.32
23,Ellie,neutral,0.36
23,Emily,neutral,0.36
23,Kenny,neutral,0.36
23,Amy,neutral,0.36
23,Mario,neutral,0.36
23,Dee,neutral,0.32
23,Christie,neutral,0.32
23,Jack,neutral,0.2
23,Ralph,neutral,0.12
23,Lily,neutral,0.32
23,Abby,neutral,0.32
23,Mary,neutral,0.32
23,Miss,neutral,0.28
23,Judy,sad,0.16
23,Luigi,neutral,0.28
23,Arianna,neutral,0.28
23,Daisy,neutral,0.28
23,Wolf,neutral,0.28
23,Mario,neutral,0.24000000000000002
23,Jess,neutral,0.24000000000000002
23,Lils,neutral,0.16
24,Richard,neutral,0.64
24,Abby,neutral,0.5199999999999999
24,Karen,neutral,0.4799999999999999
24,Anna,sad,0.36
24,Ellie,neutral,0.39999999999999997
24,Emily,neutral,0.39999999999999997
24,Kenny,neutral,0.39999999999999997
24,Amy,neutral,0.39999999999999997
24,Mario,neutral,0.39999999999999997
24,Dee,neutral,0.36
24,Christie,neutral,0.36
24,Jack,neutral,0.24000000000000002
24,Ralph,sad,0.16
24,Lily,neutral,0.36
24,Abby,neutral,0.36
24,Mary,neutral,0.36
24,Miss,neutral,0.32
24,Judy,fear,0.12
24,Luigi,neutral,0.32
24,Arianna,neutral,0.32
24,Daisy,neutral,0.32
24,Wolf,neutral,0.32
24,Mario,neutral,0.28
24,Jess,sad,0.04
24,Lils,neutral,0.2
25,Richard,neutral,0.68
25,Abby,neutral,0.5599999999999999
25,Karen,neutral,0.5199999999999999
25,Anna,sad,0.39999999999999997
25,Ellie,neutral,0.43999999999999995
25,Emily,neutral,0.43999999999999995
25,Kenny,neutral,0.43999999999999995
25,Amy,neutral,0.43999999999999995
25,Mario,neutral,0.43999999999999995
25,Dee,neutral,0.39999999999999997
25,Christie,neutral,0.39999999999999997
25,Jack,neutral,0.28
25,Ralph,neutral,0.16
25,Lily,neutral,0.39999999999999997
25,Abby,neutral,0.39999999999999997
25,Mary,neutral,0.39999999999999997
25,Miss,neutral,0.36
25,Judy,fear,0.16
25,Luigi,neutral,0.36
25,Arianna,neutral,0.36
25,Daisy,neutral,0.36
25,Wolf,neutral,0.36
25,Mario,neutral,0.32
25,Jess,neutral,0.28
25,Lils,neutral,0.24000000000000002
26,Richard,neutral,0.7200000000000001
26,Abby,neutral,0.6
26,Karen,neutral,0.5599999999999999
26,Anna,sad,0.43999999999999995
26,Ellie,neutral,0.4799999999999999
26,Emily,sad,0.04
26,Kenny,neutral,0.4799999999999999
26,Amy,neutral,0.4799999999999999
26,Mario,neutral,0.4799999999999999
26,Dee,neutral,0.43999999999999995
26,Christie,neutral,0.43999999999999995
26,Jack,neutral,0.32
26,Ralph,neutral,0.2
26,Lily,neutral,0.43999999999999995
26,Abby,neutral,0.43999999999999995
26,Mary,neutral,0.43999999999999995
26,Miss,neutral,0.39999999999999997
26,Judy,fear,0.2
26,Luigi,neutral,0.39999999999999997
26,Arianna,neutral,0.39999999999999997
26,Daisy,neutral,0.39999999999999997
26,Wolf,neutral,0.39999999999999997
26,Mario,neutral,0.36
26,Jess,neutral,0.32
26,Lils,neutral,0.28
27,Richard,neutral,0.7600000000000001
27,Abby,neutral,0.64
27,Karen,neutral,0.6
27,Anna,sad,0.4799999999999999
27,Ellie,neutral,0.5199999999999999
27,Emily,sad,0.08
27,Kenny,neutral,0.5199999999999999
27,Amy,neutral,0.5199999999999999
27,Mario,neutral,0.5199999999999999
27,Dee,neutral,0.4799999999999999
27,Christie,neutral,0.4799999999999999
27,Jack,neutral,0.36
27,Ralph,neutral,0.24000000000000002
27,Lily,neutral,0.4799999999999999
27,Abby,neutral,0.4799999999999999
27,Mary,neutral,0.4799999999999999
27,Miss,neutral,0.43999999999999995
27,Judy,fear,0.24000000000000002
27,Luigi,neutral,0.43999999999999995
27,Arianna,neutral,0.43999999999999995
27,Daisy,neutral,0.43999999999999995
27,Wolf,neutral,0.43999999999999995
27,Mario,neutral,0.39999999999999997
27,Jess,neutral,0.36
27,Lils,neutral,0.32
28,Richard,neutral,0.8000000000000002
28,Abby,neutral,0.68
28,Karen,neutral,0.64
28,Anna,sad,0.5199999999999999
28,Ellie,neutral,0.5599999999999999
28,Emily,sad,0.12
28,Kenny,neutral,0.5599999999999999
28,Amy,neutral,0.5599999999999999
28,Mario,neutral,0.5599999999999999
28,Dee,neutral,0.5199999999999999
28,Christie,neutral,0.5199999999999999
28,Jack,neutral,0.39999999999999997
28,Ralph,neutral,0.28
28,Lily,neutral,0.5199999999999999
28,Abby,neutral,0.5199999999999999
28,Mary,neutral,0.5199999999999999
28,Miss,neutral,0.4799999999999999
28,Judy,sad,0.2
28,Luigi,neutral,0.4799999999999999
28,Arianna,neutral,0.4799999999999999
28,Daisy,neutral,0.4799999999999999
28,Wolf,neutral,0.4799999999999999
28,Mario,neutral,0.43999999999999995
28,Jess,neutral,0.39999999999999997
28,Lils,neutral,0.36
29,Richard,neutral,0.8400000000000002
29,Abby,neutral,0.7200000000000001
29,Karen,neutral,0.68
29,Anna,sad,0.5599999999999999
29,Ellie,neutral,0.6
29,Emily,sad,0.16
29,Kenny,neutral,0.6
29,Amy,neutral,0.6
29,Mario,neutral,0.6
29,Dee,neutral,0.5599999999999999
29,Christie,neutral,0.5599999999999999
29,Jack,neutral,0.43999999999999995
29,Ralph,neutral,0.32
29,Lily,neutral,0.5599999999999999
29,Abby,neutral,0.5599999999999999
29,Mary,neutral,0.5599999999999999
29,Miss,neutral,0.5199999999999999
29,Judy,sad,0.24000000000000002
29,Luigi,neutral,0.5199999999999999
29,Arianna,neutral,0.5199999999999999
29,Daisy,neutral,0.5199999999999999
29,Wolf,neutral,0.5199999999999999
29,Mario,neutral,0.4799999999999999
29,Jess,neutral,0.43999999999999995
29,Lils,neutral,0.39999999999999997
30,Richard,neutral,0.8800000000000002
30,Abby,neutral,0.7600000000000001
30,Karen,neutral,0.7200000000000001
30,Anna,sad,0.6
30,Ellie,neutral,0.64
30,Emily,sad,0.2
30,Kenny,neutral,0.64
30,Amy,neutral,0.64
30,Mario,neutral,0.64
30,Dee,neutral,0.6
30,Christie,neutral,0.6
30,Jack,neutral,0.4799999999999999
30,Ralph,neutral,0.36
30,Lily,neutral,0.6
30,Abby,neutral,0.6
30,Mary,neutral,0.6
30,Miss,neutral,0.5599999999999999
30,Judy,sad,0.28
30,Luigi,neutral,0.5599999999999999
